date,ticker,close
201201,BX,15.81
201202,BX,15.62
201203,BX,15.94
201204,BX,13.56
201205,BX,12.04
201206,BX,13.07
201207,BX,13.85
201208,BX,13.49
201209,BX,14.28
201210,BX,15.36
201211,BX,14.69
201212,BX,15.59
201301,BX,18.5
201302,BX,18.9
201303,BX,19.78
201304,BX,20.55
201305,BX,21.89
201306,BX,21.06
201307,BX,22.55
201308,BX,21.84
201309,BX,24.89
201310,BX,26.28
201311,BX,28.58
201312,BX,31.5
201401,BX,32.75
201402,BX,33.35
201403,BX,33.25
201404,BX,29.53
201405,BX,31.08
201406,BX,33.44
201407,BX,32.68
201408,BX,33.53
201409,BX,31.48
201410,BX,30.12
201411,BX,33.52
201412,BX,33.83
201501,BX,37.34
201502,BX,37.46
201503,BX,38.89
201504,BX,40.96
201505,BX,43.8
201506,BX,40.87
201507,BX,39.25
201508,BX,34.25
201509,BX,31.67
201510,BX,33.06
201511,BX,31.23
201512,BX,29.24
201601,BX,26.27
201602,BX,25.97
201603,BX,28.05
201604,BX,27.44
201605,BX,26.19
201606,BX,24.54
201607,BX,26.84
201608,BX,27.42
201609,BX,25.53
201610,BX,25.03
201611,BX,25.74
201612,BX,27.03
201701,BX,30.63
201702,BX,29.54
201703,BX,29.7
201704,BX,30.84
201705,BX,32.88
201706,BX,33.35
201707,BX,33.45
201708,BX,32.73
201709,BX,33.37
201710,BX,33.29
201711,BX,31.72
201712,BX,32.02
201801,BX,36.55
201802,BX,34
201803,BX,31.95
201804,BX,30.95
201805,BX,31.93
201806,BX,32.17
201807,BX,34.92
201808,BX,36.91
201809,BX,38.08
201810,BX,32.36
201811,BX,33.73
201812,BX,29.81
201901,BX,33.7
201902,BX,33.39
201903,BX,34.97
201904,BX,39.46
201905,BX,37.85
201906,BX,44.42
201907,BX,47.98
201908,BX,49.76
201909,BX,48.84
201910,BX,53.16
201911,BX,54.22
201912,BX,55.94
202001,BX,61.07
202002,BX,53.84
202003,BX,45.57
202004,BX,52.24
202005,BX,56.8
202006,BX,56.66
202007,BX,53.28
202008,BX,52.95
202009,BX,52.2
202010,BX,50.42
202011,BX,59.55
202012,BX,64.81
202101,BX,67.19
202102,BX,69.23
202103,BX,74.53
202104,BX,88.49
202105,BX,92.67
202106,BX,97.14
202107,BX,115.27
202108,BX,125.73
202109,BX,116.34
202110,BX,138.42
202111,BX,141.45
202112,BX,129.39
202201,BX,131.97
202202,BX,127.47
202203,BX,126.94
202204,BX,101.57
202205,BX,117.79
202206,BX,91.23
202207,BX,102.07
202208,BX,93.94
202209,BX,83.7
202210,BX,91.14
202211,BX,91.53
202212,BX,74.19
202301,BX,95.96
202302,BX,90.8
202303,BX,87.84
202304,BX,89.33
202305,BX,85.64
202306,BX,92.97
202307,BX,104.79
202308,BX,106.37
202309,BX,107.14
202310,BX,92.35
202311,BX,
201007,KKR,9.05
201008,KKR,10.02
201009,KKR,10.6
201010,KKR,12.68
